?concept	?predicat	?object
Regular Schedule	rel:example	"A corporate bond pays interest for 10 years starting on the first day of 2015.  Interest payments are due 15 days after the expiration of each 6 month period: on July 15 and January 16.\n\nThe payment schedule is a RegularSchedule, with these properties:\n\n* comprises: identifies the interest payment details\n* overall DatePeriod starting date is '2015-01-01', ending date is '2025-01-15', and duration is 'P10Y15D'\n* hasCount is 20 (2 payments per year for 10 years)\n* hasRecurrenceInterval is 'P6M'\n* hasRecurrenceStartDate is '2015-01-15'"
Regular Schedule	rel:hasRecurrenceStartDate	dateRegular Schedule	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/FND/DatesAndTimes/FinancialDates/RegularSchedule>
Regular Schedule	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>
Regular Schedule	rel:editorialNote	"The BusinessDates ontology extends 'RegularSchedule' with an optional BusinessDayAdjustment that specifies what should happen if a scheduled date falls on a weekend or a holiday."
Regular Schedule	rel:hasBusinessDayAdjustment	business day adjustmentRegular Schedule	rel:hasRecurrenceInterval	recurrence intervalRegular Schedule	rel:comprises	occurrence kindRegular Schedule	rel:example	"A 30 year mortgage is payable monthly on the 10th of the month, starting July 2015. The mortgage is issued on June 15, 2015 so the first payment is for the period June 15-June 30, and the last payment is for June 1-14 2045.\n\nThe payment schedule is a RegularSchedule with these properties:\n\n* comprises: regular payment OccurrenceKind (with payment details)  (see the 'comprises' property of the Occurrences ontology)\n* hasInitialStub: June 15-30, 2015 for initial payment\n* hasFinalStub: June 1-14, 2045 for final payment\n* hasCount: 358\n* hasOverallPeriod starting Date: June 15, 2015 with a duration of 30 years\n* hasRecurrenceInterval: specifies 10th day of each calendar month\n* hasRecurrenceStartDate: July 1, 2015"
Regular Schedule	rel:hasInitialStub	schedule stubRegular Schedule	rel:definition	"a schedule whose time intervals recur regularly"
Regular Schedule	rel:hasStub	schedule stubRegular Schedule	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
Regular Schedule	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"A RegularSchedule is a Schedule defined as a set of Dates that start on a recurrence start date and repeat after each recurrence interval.  The size of this set is defined by a count.\n\nThe 'initial ScheduleStub' associated with a RegularSchedule identifies any special treatment applied before the recurrence start date.  Similarly, a 'final ScheduleStub' identifies any special handling at the end of the recurrences.  For example, a mortgage loan that is due each calendar month may have an initial payment due before the first calendar month, or a final payment due after the last monthly payment."
SG D Semi Annual Swap Rate Tullett Prebon	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."
SG D Semi Annual Swap Rate Tullett Prebon	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"
SG D Semi Annual Swap Rate Tullett Prebon	rel:definition	"individual representing the FpML floating interest index for the SGD-Semi-Annual Swap Rate-16:00-Tullett Prebon"
SG D Semi Annual Swap Rate Tullett Prebon	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>
SG D Semi Annual Swap Rate Tullett Prebon	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/SGD-Semi-Annual_Swap_Rate-16_00-Tullett_Prebon>
SG D Semi Annual Swap Rate Tullett Prebon	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
Business Recurrence Interval Convention	rel:prefLabel	"Business Recurrence Interval Convention"@en
Business Recurrence Interval Convention	rel:definition	"a convention for modeling recurring days, such as the end of the month, a particular day of the month, a day of the week, or more specifically, a t-bill auction date"
Business Recurrence Interval Convention	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>
Business Recurrence Interval Convention	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/FND/DatesAndTimes/BusinessDates/BusinessRecurrenceIntervalConvention>
Business Recurrence Interval Convention	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
Regulation S	rel:prefLabel	"Regulation S"@en
Regulation S	rel:editorialNote	"Needs review and provenance"
Regulation S	rel:definition	"a securities regulation defining an exemption through which corporations can issue unregistered securities to qualified foreign investors and foreign institutions"
Regulation S	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/SEC/AboutSEC/SECSpecification>
Regulation S	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/SEC/Securities/SecuritiesRestrictions/RegulationS>
Regulation S	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
HK D Quarterly Annual Swap Rate BGCANTOR	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."
HK D Quarterly Annual Swap Rate BGCANTOR	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"
HK D Quarterly Annual Swap Rate BGCANTOR	rel:definition	"individual representing the FpML floating interest index for the HKD-Quarterly-Annual Swap Rate-4:00-BGCANTOR"
HK D Quarterly Annual Swap Rate BGCANTOR	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>
HK D Quarterly Annual Swap Rate BGCANTOR	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/HKD-Quarterly-Annual_Swap_Rate-4_00-BGCANTOR>
HK D Quarterly Annual Swap Rate BGCANTOR	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
JP Y OI S TRADITION	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."
JP Y OI S TRADITION	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"
JP Y OI S TRADITION	rel:definition	"individual representing the FpML floating interest index for the JPY-OIS-3:00-TRADITION"
JP Y OI S TRADITION	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>
JP Y OI S TRADITION	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/JPY-OIS-3_00-TRADITION>
JP Y OI S TRADITION	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
Consumer	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"The consumer is not always the purchaser of the product.  Consumers are considered to be the users of the final product.  For example, purchasers of building products are interim users of these products while constructing the finished product, which then may be purchased by the consumer."
Consumer	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"For the purposes of the CPI, the definition of consumer is limited to humans.  In general, a consumer could include a pet, as the consumer of pet food, for example, although the pet owner would likely be the purchaser and target of advertising."
Consumer	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	"Barron's Dictionary of Business and Economics Terms, Fifth Edition, 2012"
Consumer	rel:prefLabel	"Consumer"@en
Consumer	rel:definition	"a person that is the ultimate user of a product or service"
Consumer	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>
Consumer	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/IND/EconomicIndicators/EconomicIndicators/Consumer>
Consumer	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
Currency Conversion Service	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"A currency exchange service may be provided by a stand-alone business or may be part of the services offered by a bank or other financial institution. The currency exchange profits from its services either through adjusting the exchange rate or taking a commission."
Currency Conversion Service	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	"Barron's Dictionary of Finance and Investment Terms, Ninth Edition, 2014"
Currency Conversion Service	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	"http://www.investopedia.com/terms/c/currency-exchange.asp"
Currency Conversion Service	rel:prefLabel	"Currency Conversion Service"@en
Currency Conversion Service	rel:definition	"a foreign exchange service involving the conversion of currency of one country or group of countries for another, typically, but not always, as a counter transaction"
Currency Conversion Service	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>
Currency Conversion Service	rel:isDefinedBy	<https://spec.edmcouncil.org/fibo/ontology/IND/ForeignExchange/ForeignExchange/CurrencyConversionService>
Currency Conversion Service	rel:type	<http://www.w3.org/2004/02/skos/core#Concept>
JP Y LIBO R BBA	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."
JP Y LIBO R BBA	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"
JP Y LIBO R BBA	rel:definition	"individual representing the FpML floating interest index for the JPY-LIBOR-BBA"
JP Y LIBO R BBA	<http://purl.org/dc/terms/isPartOf>	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>
