?concept	?object	?predicat	1
business recurrence interval convention	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
business recurrence interval convention	<https://spec.edmcouncil.org/fibo/ontology/FND/DatesAndTimes/BusinessDates/BusinessRecurrenceIntervalConvention>	rel:isDefinedBy	1
business recurrence interval convention	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
regulation	"Needs review and provenance"	rel:editorialNote	1
regulation	"a securities regulation defining an exemption through which corporations can issue unregistered securities to qualified foreign investors and foreign institutions"	rel:definition	1
regulation	<https://spec.edmcouncil.org/fibo/SEC/AboutSEC/SECSpecification>	<http://purl.org/dc/terms/isPartOf>	1
regulation	<https://spec.edmcouncil.org/fibo/ontology/SEC/Securities/SecuritiesRestrictions/RegulationS>	rel:isDefinedBy	1
regulation	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
hkd quarterly annual swap rate bgcantor	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
hkd quarterly annual swap rate bgcantor	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
hkd quarterly annual swap rate bgcantor	"individual representing the FpML floating interest index for the HKD-Quarterly-Annual Swap Rate-4:00-BGCANTOR"	rel:definition	1
hkd quarterly annual swap rate bgcantor	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
hkd quarterly annual swap rate bgcantor	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/HKD-Quarterly-Annual_Swap_Rate-4_00-BGCANTOR>	rel:isDefinedBy	1
hkd quarterly annual swap rate bgcantor	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
jpy ois tradition	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
jpy ois tradition	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
jpy ois tradition	"individual representing the FpML floating interest index for the JPY-OIS-3:00-TRADITION"	rel:definition	1
jpy ois tradition	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
jpy ois tradition	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/JPY-OIS-3_00-TRADITION>	rel:isDefinedBy	1
jpy ois tradition	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
consumer	"The consumer is not always the purchaser of the product.  Consumers are considered to be the users of the final product.  For example, purchasers of building products are interim users of these products while constructing the finished product, which then may be purchased by the consumer."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
consumer	"For the purposes of the CPI, the definition of consumer is limited to humans.  In general, a consumer could include a pet, as the consumer of pet food, for example, although the pet owner would likely be the purchaser and target of advertising."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
consumer	"Barron's Dictionary of Business and Economics Terms, Fifth Edition, 2012"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
consumer	"a person that is the ultimate user of a product or service"	rel:definition	1
consumer	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
consumer	<https://spec.edmcouncil.org/fibo/ontology/IND/EconomicIndicators/EconomicIndicators/Consumer>	rel:isDefinedBy	1
consumer	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
currency conversion service	"A currency exchange service may be provided by a stand-alone business or may be part of the services offered by a bank or other financial institution. The currency exchange profits from its services either through adjusting the exchange rate or taking a commission."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
currency conversion service	"Barron's Dictionary of Finance and Investment Terms, Ninth Edition, 2014"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
currency conversion service	"http://www.investopedia.com/terms/c/currency-exchange.asp"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
currency conversion service	"a foreign exchange service involving the conversion of currency of one country or group of countries for another, typically, but not always, as a counter transaction"	rel:definition	1
