?concept	?object	?predicat	1
registration authority code	business registry	rel:identifies	1
registration authority code	"an identifier that uniquely identifies a business registry, issued by the Global Legal Entity Identifier Foundation (GLEIF)"	rel:definition	1
registration authority code	<https://spec.edmcouncil.org/fibo/FBC/AboutFBC/FBCSpecification>	<http://purl.org/dc/terms/isPartOf>	1
registration authority code	<https://spec.edmcouncil.org/fibo/ontology/FBC/FunctionalEntities/BusinessRegistries/RegistrationAuthorityCode>	rel:isDefinedBy	1
registration authority code	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
public offering	"In the US, public offerings generally require approval of the Securities Exchange Commission and/or relevant state regulators, unless the issuer is an exempt issuer, and are usually conducted by an investment banker or a syndicate made up of several investment bankers, at a price agreed upon between the issuer and the investment bankers."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
public offering	"Barron's Dictionary of Finance and Investment Terms, Ninth Edition, 2014."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
public offering	"http://www.nasdaq.com/investing/glossary/p/http%3a%2f%2fwww.nasdaq.com%2finvesting%2fglossary%2fp%2fpublic-offering"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
public offering	prospectus	rel:isEvidencedBy	1
public offering	"an offering of securities for sale to the investment public, after compliance with registration requirements of the relevant regulatory authorities"	rel:definition	1
public offering	<https://spec.edmcouncil.org/fibo/SEC/AboutSEC/SECSpecification>	<http://purl.org/dc/terms/isPartOf>	1
public offering	<https://spec.edmcouncil.org/fibo/ontology/SEC/Securities/SecuritiesIssuance/PublicOffering>	rel:isDefinedBy	1
public offering	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
investor contract	investment equity	rel:definesTermsFor	1
investor contract	"Contract setting out the terms under which some investor invests in the entity and setting out the rights which are conferred on that investor."	rel:definition	1
investor contract	<https://spec.edmcouncil.org/fibo/BE/AboutBE/BESpecification>	<http://purl.org/dc/terms/isPartOf>	1
investor contract	<https://spec.edmcouncil.org/fibo/ontology/BE/OwnershipAndControl/OwnershipParties/InvestorContract>	rel:isDefinedBy	1
investor contract	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
juridical person	"Black's Law Dictionary Free Online, see http://thelawdictionary.org/juridical-person/"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/definitionOrigin>	1
juridical person	"an entity, as a firm, that is not a single natural person, as a human being, authorized by law with duties and rights, recognized as a legal authority having a distinct identity, a legal personality"	rel:definition	1
juridical person	"juristic person"	rel:altLabel	1
juridical person	"artificial person"	rel:altLabel	1
juridical person	"juridical entity"	rel:altLabel	1
juridical person	<https://spec.edmcouncil.org/fibo/BE/AboutBE/BESpecification>	<http://purl.org/dc/terms/isPartOf>	1
juridical person	<https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/LegalPersons/JuridicalPerson>	rel:isDefinedBy	1
juridical person	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
usd prime reference banks	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
usd prime reference banks	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
usd prime reference banks	"individual representing the FpML floating interest index for the USD-Prime-Reference Banks"	rel:definition	1
usd prime reference banks	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
usd prime reference banks	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/USD-Prime-Reference_Banks>	rel:isDefinedBy	1
usd prime reference banks	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
registration identifier scheme	registration identifier	rel:defines	1
registration identifier scheme	"the scheme that defines the registration identifier per the issuing registration authority"	rel:definition	1
registration identifier scheme	<https://spec.edmcouncil.org/fibo/BE/AboutBE/BESpecification>	<http://purl.org/dc/terms/isPartOf>	1
registration identifier scheme	<https://spec.edmcouncil.org/fibo/ontology/BE/Corporations/Corporations/RegistrationIdentifierScheme>	rel:isDefinedBy	1
registration identifier scheme	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
swap	swap execution facility	rel:mayBeTradedIn	1
swap	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
swap	swap leg	rel:hasLeg	1
swap	swap terms	rel:hasContractualElement	1
swap	"The most common type is an interest rate swap, in which one party agrees to pay a fixed interest rate in return for receiving a adjustable rate from another party. Review session notes: 10 Mar Helpful to split these according to the assets that are swapped. So for instance there are equity swaps, commodity swaps where you swap different assets. These are not mutually exclusive to labels about Fund Leg, and so on, that are different ways that people trading in those assets distinguish between those legs. For example in IR, we talk Fixed, Floating. capital Index Swap, where the return on oen leg is indexed to an inflation index but it's still an IR swap where the payment relates to an inflation index. So keeping the 2 legs in some sort of notion balance - example index annuity swap, capital index swap and so on. These terms refer to the behavior of the underlying swap rather than an arbitrary classification of what leg is what. Different structures of swap is less relevant. 17 March: Remember: the contract does not necessarily have 2 legs, but it usually would. The structure is in the transactions, i.e., the commitments embodied in the terms for the two sides of those transactions, the legs which are simply the embodiment of those commitments, and so on. Then the details structure is in the leg definitions. Note also that different kinds of leg can have various structures regardless of how or why they are used in a contract."	rel:editorialNote	1
swap	"http://www.investopedia.com/terms/s/swap.asp"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
swap	"Usually, the principal does not change hands. Each cash flow comprises one leg of the swap. One cash flow is generally fixed, while the other is variable, that is, based on a a benchmark interest rate, floating currency exchange rate or index price."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
swap	swap leg	rel:exchanges	1
swap	<https://spec.edmcouncil.org/fibo/DER/AboutDER/DERSpecification>	<http://purl.org/dc/terms/isPartOf>	1
swap	"a derivative instrument that facilitiates the exchange financial instruments among the parties; the instruments can be almost anything, but most swaps involve cash flows (streams of payments or other commitments over time) based on a notional principal amount that both parties agree to"	rel:definition	1
swap	<https://spec.edmcouncil.org/fibo/ontology/DER/DerivativesContracts/Swaps/Swap>	rel:isDefinedBy	1
swap	swap party	rel:hasContractParty	1
licensor	"Barron's Dictionary of Business and Economics Terms, Fifth Edition, 2012"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
licensor	"a party who grants a license"	rel:definition	1
licensor	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
licensor	<https://spec.edmcouncil.org/fibo/ontology/FND/Law/LegalCapacity/Licensor>	rel:isDefinedBy	1
licensor	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
day count convention	"Day-count conventions apply to swaps, mortgages and forward rate agreements as well as bonds, each of which has its own day-count convention, which varies depending on the type of instrument, whether the interest rate is fixed or floating, and the country of issuance. Among the most common conventions are 30/360 or 365, actual/360 or 365, and actual/actual. A 30/360 convention assumes 30 days in a month and 360 days in a year. An actual/360 convention assumes the actual number of days in the given month and 360 days in the year. An actual/ actual convention uses the actual number of days in the given interest period and year."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
day count convention	"http://www.investopedia.com/terms/d/daycount.asp"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
day count convention	"http://www.investinginbonds.com/story.asp?id=3140"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
day count convention	"a business recurrence interval convention that is used to calculate the number of days in an interest payment, which applies to the amount of accrued interest or the present value for debt instruments"	rel:definition	1
day count convention	<https://spec.edmcouncil.org/fibo/FBC/AboutFBC/FBCSpecification>	<http://purl.org/dc/terms/isPartOf>	1
day count convention	<https://spec.edmcouncil.org/fibo/ontology/FBC/DebtAndEquities/Debt/DayCountConvention>	rel:isDefinedBy	1
day count convention	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
eur annual swap rate swap marker	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
eur annual swap rate swap marker	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
eur annual swap rate swap marker	"individual representing the FpML floating interest index for the EUR-Annual Swap Rate-11:00-SwapMarker"	rel:definition	1
eur annual swap rate swap marker	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
eur annual swap rate swap marker	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/EUR-Annual_Swap_Rate-11_00-SwapMarker>	rel:isDefinedBy	1
eur annual swap rate swap marker	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
usd tbill	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
usd tbill	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
usd tbill	"individual representing the FpML floating interest index for the USD-TBILL-H.15"	rel:definition	1
usd tbill	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
usd tbill	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/USD-TBILL-H.15>	rel:isDefinedBy	1
usd tbill	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
unit investment trust	"Section 4, definition of investment companies, Investment Company Act of 1940 as amended and approved as of 3 January 2012, see https://www.sec.gov/about/laws/ica40.pdf"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/definitionOrigin>	1
unit investment trust	"an investment company which (a) is organized under a trust indenture, contract of custodianship or agency, or similar instrument, (b) does not have a board of directors, and (c) issues only redeemable securities, each of which represents an undivided interest in a unit of specified securities; but does not include a voting trust"	rel:definition	1
unit investment trust	"unit investment company"	rel:altLabel	1
unit investment trust	<https://spec.edmcouncil.org/fibo/FBC/AboutFBC/FBCSpecification>	<http://purl.org/dc/terms/isPartOf>	1
unit investment trust	<https://spec.edmcouncil.org/fibo/ontology/FBC/FunctionalEntities/FinancialServicesEntities/UnitInvestmentTrust>	rel:isDefinedBy	1
unit investment trust	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
idr jibor reuters	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
idr jibor reuters	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
idr jibor reuters	"individual representing the FpML floating interest index for the IDR-JIBOR-Reuters"	rel:definition	1
idr jibor reuters	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
idr jibor reuters	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/IDR-JIBOR-Reuters>	rel:isDefinedBy	1
idr jibor reuters	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
put premium	"http://www.investopedia.com/terms/p/put.asp"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
put premium	"Barron's Dictionary of Business and Economics Terms, Fifth Edition, 2012"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
put premium	"an amount over par that a debt instrument holder must pay to sell the security early"	rel:definition	1
put premium	<https://spec.edmcouncil.org/fibo/SEC/AboutSEC/SECSpecification>	<http://purl.org/dc/terms/isPartOf>	1
put premium	<https://spec.edmcouncil.org/fibo/ontology/SEC/Debt/DebtInstruments/PutPremium>	rel:isDefinedBy	1
put premium	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
significant shareholding company	"a company that owns a significant voting stake in another company"	rel:definition	1
significant shareholding company	<https://spec.edmcouncil.org/fibo/BE/AboutBE/BESpecification>	<http://purl.org/dc/terms/isPartOf>	1
significant shareholding company	<https://spec.edmcouncil.org/fibo/ontology/BE/OwnershipAndControl/CorporateControl/SignificantShareholdingCompany>	rel:isDefinedBy	1
significant shareholding company	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
institutional unit	"There is a hierarchical relationship between institutional units and establishments. An institutional unit contains one or more entire establishment(s); an establishment belongs to one and only one institutional unit. There are two main types of units in the real world that may qualify as institutional units, namely persons or groups of persons in the form of households, and legal or social entities."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
institutional unit	"http://www.statcan.gc.ca/eng/nea/gloss/gloss_i#Institutionalunit"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
institutional unit	"http://stats.oecd.org/glossary/detail.asp?ID=1415"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
institutional unit	"http://www.statcan.gc.ca/eng/concepts/units"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
institutional unit	"a party that is capable, in its own right, of owning assets, incurring liabilities, and engaging in economic activities and in transactions with other parties"	rel:definition	1
institutional unit	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
institutional unit	<https://spec.edmcouncil.org/fibo/ontology/IND/EconomicIndicators/EconomicIndicators/InstitutionalUnit>	rel:isDefinedBy	1
institutional unit	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
swap confirmation	swap confirmation	rel:supersedes	1
swap confirmation	swap party	rel:hasContractParty	1
swap confirmation	"a formal confirmation that codifies the terms and conditions specific to a lifecycle event with respect to the overall transaction between the parties"	rel:definition	1
swap confirmation	<https://spec.edmcouncil.org/fibo/DER/AboutDER/DERSpecification>	<http://purl.org/dc/terms/isPartOf>	1
swap confirmation	<https://spec.edmcouncil.org/fibo/ontology/DER/DerivativesContracts/Swaps/SwapConfirmation>	rel:isDefinedBy	1
swap confirmation	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
guarantee providing member	independent party	rel:hasIdentity	1
guarantee providing member	"This can be any contractually capable entity."	rel:editorialNote	1
guarantee providing member	"an entity that has issued some guarantee for a body incorporated by the issuance of guarantees"	rel:definition	1
guarantee providing member	<https://spec.edmcouncil.org/fibo/BE/AboutBE/BESpecification>	<http://purl.org/dc/terms/isPartOf>	1
guarantee providing member	<https://spec.edmcouncil.org/fibo/ontology/BE/OwnershipAndControl/OwnershipParties/GuaranteeProvidingMember>	rel:isDefinedBy	1
guarantee providing member	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
partnership with corporate limited partners	corporate limited partner	rel:hasMember	1
partnership with corporate limited partners	"A partnership with limited partners (partners whose liability is limited) and where those partners are necessarily non natural persons (i.e. cannot be individuals)."	rel:definition	1
partnership with corporate limited partners	<https://spec.edmcouncil.org/fibo/BE/AboutBE/BESpecification>	<http://purl.org/dc/terms/isPartOf>	1
partnership with corporate limited partners	<https://spec.edmcouncil.org/fibo/ontology/BE/Partnerships/Partnerships/PartnershipWithCorporateLimitedPartners>	rel:isDefinedBy	1
partnership with corporate limited partners	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
redemption provision	"In general, redemption is synonymous with 'buy back' or 'cash in', depending on the kind of instrument. Redemption provisions are commonly applicable to the process of annulling a defeasible title, such as for a mortgage or tax sale, by paying the debt or fulfilling an obligation."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
redemption provision	"Barron's Dictionary of Business and Econonmics Terms, Fifth Edition, 2012"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
redemption provision	"a contract provision enabling the issuer (writer) to regain possession through repayment of some stipulated price"	rel:definition	1
redemption provision	<https://spec.edmcouncil.org/fibo/FBC/AboutFBC/FBCSpecification>	<http://purl.org/dc/terms/isPartOf>	1
redemption provision	<https://spec.edmcouncil.org/fibo/ontology/FBC/DebtAndEquities/Debt/RedemptionProvision>	rel:isDefinedBy	1
redemption provision	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
twd taibor bloomberg	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
twd taibor bloomberg	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
twd taibor bloomberg	"individual representing the FpML floating interest index for the TWD-TAIBOR-Bloomberg"	rel:definition	1
twd taibor bloomberg	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
twd taibor bloomberg	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/TWD-TAIBOR-Bloomberg>	rel:isDefinedBy	1
twd taibor bloomberg	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
swap stream reset relative date	swap stream interest calculation schedule	rel:isRelativeTo	1
swap stream reset relative date	<https://spec.edmcouncil.org/fibo/DER/AboutDER/DERSpecification>	<http://purl.org/dc/terms/isPartOf>	1
swap stream reset relative date	<https://spec.edmcouncil.org/fibo/ontology/DER/RateDerivatives/IRSwaps/SwapStreamResetRelativeDate>	rel:isDefinedBy	1
swap stream reset relative date	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
contract originator	"the party that originates the contract and acts as the principal in that contract regardless of the owner or counterparty"	rel:definition	1
contract originator	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
contract originator	<https://spec.edmcouncil.org/fibo/ontology/FND/Agreements/Contracts/ContractOriginator>	rel:isDefinedBy	1
contract originator	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
non negotiable security	"Certain securities that can be redeemed by the issuer may not be 'negotiable', such as savings bonds and certificates of deposit."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
non negotiable security	"a security that is not transferable to another party"	rel:definition	1
non negotiable security	<https://spec.edmcouncil.org/fibo/FBC/AboutFBC/FBCSpecification>	<http://purl.org/dc/terms/isPartOf>	1
non negotiable security	<https://spec.edmcouncil.org/fibo/ontology/FBC/FinancialInstruments/FinancialInstruments/NonNegotiableSecurity>	rel:isDefinedBy	1
non negotiable security	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
offering document	<https://spec.edmcouncil.org/fibo/ontology/SEC/Securities/SecuritiesIssuance/OfferingDocument>	rel:isDefinedBy	1
offering document	"http://legal-dictionary.thefreedictionary.com/offer"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
offering document	"There are many variations, including offering memorandum, which is typically used in the context of a private placement, offering statement, which has slightly different meanings depending on the context (for securities, for bonds, etc.) and so forth.  This concept is intended to act as a more abstract parent for these more nuanced concepts."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
offering document	securities offering	rel:isEvidenceFor	1
offering document	<https://spec.edmcouncil.org/fibo/SEC/AboutSEC/SECSpecification>	<http://purl.org/dc/terms/isPartOf>	1
offering document	date	rel:hasDateOfIssuance	1
offering document	"a legal document, published by an offeror or issuer of one or more securities that contains details of the offer, including but not necessarily limited to information a potential investor might want to know about the offering and issuer in order to make an informed investment decision"	rel:definition	1
offering document	security	rel:appliesTo	1
offering document	date	rel:hasExpirationDate	1
offering document	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
trade lifecycle stage	"http://www.businessdictionary.com/definition/life-cycle.html"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
trade lifecycle stage	trade lifecycle	rel:isStageOf	1
trade lifecycle stage	trade	rel:classifies	1
trade lifecycle stage	trade lifecycle event	rel:comprises	1
trade lifecycle stage	"a phase in the lifecycle of a trade"	rel:definition	1
trade lifecycle stage	<https://spec.edmcouncil.org/fibo/FBC/AboutFBC/FBCSpecification>	<http://purl.org/dc/terms/isPartOf>	1
trade lifecycle stage	"http://www.investopedia.com/terms/p/post-trade-processing.asp"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
trade lifecycle stage	trade lifecycle	rel:hasDefinition	1
trade lifecycle stage	trade lifecycle stage	rel:succeeds	1
trade lifecycle stage	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
trade lifecycle stage	<https://spec.edmcouncil.org/fibo/ontology/FBC/ProductsAndServices/FinancialProductsAndServices/TradeLifecycleStage>	rel:isDefinedBy	1
registered shareholder	"a shareholder that is registered on the shareholder registry for a company"	rel:definition	1
registered shareholder	<https://spec.edmcouncil.org/fibo/BE/AboutBE/BESpecification>	<http://purl.org/dc/terms/isPartOf>	1
registered shareholder	<https://spec.edmcouncil.org/fibo/ontology/BE/OwnershipAndControl/CorporateOwnership/RegisteredShareholder>	rel:isDefinedBy	1
registered shareholder	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
non tradable debt instrument	"Generally, a nonnegotiable instrument may be redeemed by the issuer, but this is often subject to some limitations."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
non tradable debt instrument	"Non-Tradeable. (n.d.) Farlex Financial Dictionary. (2009). Retrieved December 16 2016 from http://financial-dictionary.thefreedictionary.com/Non-Tradeable"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
non tradable debt instrument	"Low-risk instruments such as savings bonds are examples of nonnegotiable debt instruments."	rel:example	1
non tradable debt instrument	"a debt instrument that may not be bought or sold"	rel:definition	1
non tradable debt instrument	<https://spec.edmcouncil.org/fibo/SEC/AboutSEC/SECSpecification>	<http://purl.org/dc/terms/isPartOf>	1
non tradable debt instrument	<https://spec.edmcouncil.org/fibo/ontology/SEC/Debt/DebtInstruments/NonTradableDebtInstrument>	rel:isDefinedBy	1
non tradable debt instrument	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
cooperative bank	"http://www.ffiec.gov/nicpubweb/Content/HELP/Institution%20Type%20Description.htm"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/definitionOrigin>	1
cooperative bank	"a state-chartered savings association located in Massachusetts, New Hampshire, Rhode Island or Vermont"	rel:definition	1
cooperative bank	<https://spec.edmcouncil.org/fibo/FBC/AboutFBC/FBCSpecification>	<http://purl.org/dc/terms/isPartOf>	1
cooperative bank	<https://spec.edmcouncil.org/fibo/ontology/FBC/FunctionalEntities/NorthAmericanEntities/USFinancialServicesEntities/CooperativeBank>	rel:isDefinedBy	1
cooperative bank	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
hkd quarterly quarterly swap rate reference banks	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
hkd quarterly quarterly swap rate reference banks	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
hkd quarterly quarterly swap rate reference banks	"individual representing the FpML floating interest index for the HKD-Quarterly-Quarterly Swap Rate-Reference Banks"	rel:definition	1
hkd quarterly quarterly swap rate reference banks	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
hkd quarterly quarterly swap rate reference banks	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/HKD-Quarterly-Quarterly_Swap_Rate-Reference_Banks>	rel:isDefinedBy	1
hkd quarterly quarterly swap rate reference banks	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
rub mosprime nfea	"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction."	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/explanatoryNote>	1
rub mosprime nfea	"http://www.fpml.org/coding-scheme/floating-rate-index-2-20.xml"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
rub mosprime nfea	"individual representing the FpML floating interest index for the RUB-MOSPRIME-NFEA"	rel:definition	1
rub mosprime nfea	<https://spec.edmcouncil.org/fibo/IND/AboutIND/INDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
rub mosprime nfea	<https://spec.edmcouncil.org/fibo/ontology/IND/InterestRates/CommonInterestRates/RUB-MOSPRIME-NFEA>	rel:isDefinedBy	1
rub mosprime nfea	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
otc instrument	"Barron's Dictionary of Finance and Investment Terms, Ninth Edition, 2014"	<https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/adaptedFrom>	1
otc instrument	"a financial instrument and bilateral contract that is not listed or traded on an organized exchange"	rel:definition	1
otc instrument	<https://spec.edmcouncil.org/fibo/DER/AboutDER/DERSpecification>	<http://purl.org/dc/terms/isPartOf>	1
otc instrument	<https://spec.edmcouncil.org/fibo/ontology/DER/DerivativesContracts/DerivativesBasics/OTCInstrument>	rel:isDefinedBy	1
otc instrument	<http://www.w3.org/2004/02/skos/core#Concept>	rel:type	1
schedule stub	date period	rel:hasDatePeriod	1
schedule stub	occurrence kind	rel:comprises	1
schedule stub	"A 30 year mortgage calls for monthly payments on the first day of each month, according to a RegularSchedule.  If the mortgage does not start on the first day of a calendar month, then an initial ScheduleStub specifies the payment due for the DatePeriod up to the first day of the next calendar month.  Similarly, a final ScheduleStub specifies the last payment due for the DatePeriod after the end of the last full calendar month."	rel:example	1
schedule stub	"The Occurrences ontology extends ScheduleStub to 'comprise' an OccurrenceKind. The meaning is that a schedule stub comprises a date period and an event which is scheduled to occur during that date period; in other words that an Occurrence of the OccurrenceKind should happen during the DatePeriod of the ScheduleStub."	rel:editorialNote	1
schedule stub	"a date period before the start of the recurring part of a schedule or after the end of the recurring part, which may be associated with a specific occurrence kind"	rel:definition	1
schedule stub	<https://spec.edmcouncil.org/fibo/FND/AboutFND/FNDSpecification>	<http://purl.org/dc/terms/isPartOf>	1
